step,processed,true_cardinality,est_mean,est_stddev,memory_bytes
1,10000,9730,9728.6,41.5916,16384
2,20000,19351,19318.4,211.363,16384
3,30000,28969,28873.1,206.307,16384
4,40000,38570,38441.2,274.531,16384
5,50000,48125,48626.2,269.857,16384
6,60000,57677,57733.4,390.611,16384
7,70000,67169,67096.7,376.682,16384
8,80000,76672,76582.7,614.097,16384
9,90000,86156,85967.5,657.405,16384
10,100000,95615,95494.4,798.994,16384
11,110000,105028,104858,987.645,16384
12,120000,114480,114275,920.219,16384
13,130000,123946,123644,943.744,16384
14,140000,133360,132858,1111.96,16384
15,150000,142789,142167,1241.42,16384
16,160000,152205,151632,1334.44,16384
17,170000,161619,161176,1295.39,16384
18,180000,171079,170341,1503.41,16384
19,190000,180460,179887,1629.24,16384
20,200000,189863,189097,1595.03,16384
