step,processed,true_cardinality,est_mean,est_stddev,memory_bytes
1,10000,9730,9723.17,41.2581,65536
2,20000,19351,19341.7,170.333,65536
3,30000,28969,28941.7,225.105,65536
4,40000,38570,38548.5,234.207,65536
5,50000,48125,48804.3,342.735,65536
6,60000,57677,57962.4,463.289,65536
7,70000,67169,67439.2,513.102,65536
8,80000,76672,76913.8,642.79,65536
9,90000,86156,86533.7,642.417,65536
10,100000,95615,95936.4,740.78,65536
11,110000,105028,105479,634.204,65536
12,120000,114480,115024,742.299,65536
13,130000,123946,124509,925.146,65536
14,140000,133360,133975,991.82,65536
15,150000,142789,143244,1115.64,65536
16,160000,152205,152442,1130.29,65536
17,170000,161619,161832,1298.91,65536
18,180000,171079,171179,1207.57,65536
19,190000,180460,180327,1574.02,65536
20,200000,189863,189720,1618.92,65536
